"[""core_organisation:656""",DA Constituency Area: Oostenberg South 2,political,Constituency Area]
"[""core_organisation:753""",ANC Constituency Office (0): MOTHIBISTAD,null,Constituency Office]
"[""core_organisation:577""","DA Constituency Area: Waterkloof, Faerie Glen, Garsfontein, Lynwood, Menlo Park, Elarduspark, Wingate Park",political,Constituency Area]
"[""core_organisation:301""",ANC Constituency Office (155): Cosatu House,political,Constituency Office]
"[""core_organisation:578""","DA Constituency Area: Hammanskraal, Temba, Bon Accord, Doringpoort, Cullinan CBD, Refilwe",political,Constituency Area]
"[""core_organisation:532""",DA Constituency Area: PE SOUTH: NMMM Central & Southwest City,political,Constituency Area]
"[""core_organisation:542""",DA Constituency Area: Thabo Mafutsanyane,political,Constituency Area]
"[""core_organisation:761""",ANC Constituency Office (840): Ethekwini Regional Office,political,Constituency Office]
"[""core_organisation:754""",ANC Constituency Office (219): Graskop,political,Constituency Office]
"[""core_organisation:655""",DA Constituency Area: Oostenberg North 2,political,Constituency Area]
"[""core_organisation:320""",ANC Constituency Office (255): Acornhoek,political,Constituency Office]
"[""core_organisation:361""",ANC Constituency Office (404): Matlosana (Klerksdorp),political,Constituency Office]
"[""core_organisation:374""",ANC Constituency Office (419): Tswaing Delareyville,political,Constituency Office]
"[""core_organisation:321""",ANC Constituency Office (207): Elukwatini,political,Constituency Office]
"[""core_organisation:712""",ACDP Constituency Office: Free State,political,Constituency Office]
"[""core_organisation:714""",ACDP Constituency Office: Mpumalanga,political,Constituency Office]
"[""core_organisation:713""",ACDP Constituency Office: Gauteng,political,Constituency Office]
"[""core_organisation:762""",ANC Constituency Office (892): Empangeni Regional Office,political,Constituency Office]
"[""core_organisation:463""",ANC Constituency Office (803): Moses Mabhida Regional Office,political,Constituency Office]
"[""core_organisation:477""",ANC Constituency Office (893): Umzimkhulu,political,Constituency Office]
"[""core_organisation:763""",ANC Constituency Office (906): Harrismith,political,Constituency Office]
"[""core_organisation:756""",ANC Constituency Office (230): Kabokweni,political,Constituency Office]
"[""core_organisation:760""",ANC Constituency Office (807): Umlazi (New Office Tba),political,Constituency Office]
"[""core_organisation:249""",ANC Constituency Office (101): Mogale City,political,Constituency Office]
"[""core_organisation:636""",DA Constituency Area: South Peninsula 2,political,Constituency Area]
"[""core_organisation:547""",DA Constituency Area: Linden,political,Constituency Area]
"[""core_organisation:642""",DA Constituency Area: Laingsburg,political,Constituency Area]
"[""core_organisation:552""",DA Constituency Area: Leneldos,political,Constituency Area]
"[""core_organisation:543""",DA Constituency Area: Letsemeng/Manstopa,political,Constituency Area]
"[""core_organisation:607""",DA Constituency Area: Madibeng & Moretele,political,Constituency Area]
"[""core_organisation:593""",DA Constituency Area: Sisonke,political,Constituency Area]
"[""core_organisation:611""","DA Constituency Area: Mafikeng, Zeerust, Ratlou",political,Constituency Area]
"[""core_organisation:598""",DA Constituency Area: Sekhukhune,political,Constituency Area]
"[""core_organisation:396""",ANC Constituency Office (612): Du Noon,political,Constituency Office]
"[""core_organisation:350""",ANC Constituency Office (338): Sefako Mapogo Makgatho (Lepelle Nkupi),political,Constituency Office]
"[""core_organisation:133""",Portfolio Committee On Transport,political,National Assembly Committees]
"[""core_organisation:424""",ANC Constituency Office (712): Keiskammahoek,political,Constituency Office]
"[""core_organisation:380""",ANC Constituency Office (510): Grootdrink,political,Constituency Office]
"[""core_organisation:322""",ANC Constituency Office (213): Lekwa,political,Constituency Office]
"[""core_organisation:270""",ANC Constituency Office (111): Mamelodi,political,Constituency Office]
"[""core_organisation:310""",ANC Constituency Office (214): Hazyview (Office Is Relocating),political,Constituency Office]
"[""core_organisation:381""",ANC Constituency Office (515): Kai Garieb/ Kakamas,political,Constituency Office]
"[""core_organisation:324""",ANC Constituency Office (217): Msukalingwa,political,Constituency Office]
"[""core_organisation:755""",ANC Constituency Office (229): Delmas,political,Constituency Office]
"[""core_organisation:378""",ANC Constituency Office (504): Kathu,political,Constituency Office]
"[""core_organisation:757""",ANC Constituency Office (707): Grahamstown,political,Constituency Office]
"[""core_organisation:432""",ANC Constituency Office (717): Alexandria,political,Constituency Office]
"[""core_organisation:319""",ANC Constituency Office (254): Agincourt,political,Constituency Office]
"[""core_organisation:556""","DA Constituency Area: Soshanguve, Mabopane, Winterveldt",political,Constituency Area]
"[""core_organisation:663""",DA Constituency Area: Knysna,political,Constituency Area]
"[""core_organisation:633""",DA Constituency Area: South Central 1,political,Constituency Area]
"[""core_organisation:634""",DA Constituency Area: South Central 2,political,Constituency Area]
"[""core_organisation:571""",DA Constituency Area: Soweto East,null,Constituency Area]
"[""core_organisation:452""",ANC Constituency Office (740): Barkley East Regional Office,political,Constituency Office]
"[""core_organisation:635""",DA Constituency Area: South Peninsula 1,political,Constituency Area]
"[""core_organisation:373""",ANC Constituency Office (418): Mafikeng,political,Constituency Office]
"[""core_organisation:312""",ANC Constituency Office (220): Driekoppies,political,Constituency Office]
"[""core_organisation:383""",ANC Constituency Office (506): Pescodia,political,Constituency Office]
"[""core_organisation:385""",ANC Constituency Office (529): Collville,political,Constituency Office]
"[""core_organisation:386""",ANC Constituency Office (531): Warrenton,political,Constituency Office]
"[""core_organisation:404""",ANC Constituency Office (635): Gugulethu,political,Constituency Office]
"[""core_organisation:409""","ANC Constituency Office (676): Bonteheuwel, Bishop Lavis, Montana",political,Constituency Office]
"[""core_organisation:647""",DA Constituency Area: Langeberg,political,Constituency Area]
"[""core_organisation:539""",DA Constituency Area: Lejweleputswa,political,Constituency Area]
"[""core_organisation:450""",ANC Constituency Office (769): Coffee Bay,political,Constituency Office]
"[""core_organisation:475""",ANC Constituency Office (828): Ixopo Harry Gwala  Regional Office,political,Constituency Office]
"[""core_organisation:108""",Select Committee On Economic Development,political,Committee]
"[""core_organisation:77""",African National Congress (ANC),political,Party]
"[""core_organisation:75""",Congress of the People (COPE),political,Party]
"[""core_organisation:169""",Portfolio Committee on Communications,political,Committee]
"[""core_organisation:78""",Democratic Alliance (DA),political,Party]
"[""core_organisation:73""",Independent Democrats (ID),political,Party]
"[""core_organisation:82""",Inkatha Freedom Party (IFP),political,Party]
"[""core_organisation:135""",Joint Committee on Constitutional Review,political,Committee]
"[""core_organisation:85""",Minority Front (MF),political,Party]
"[""core_organisation:214""",Oversight & Accountability,null,Ad Hoc Committees]
"[""core_organisation:79""",Pan Africanist Congress of Azania (PAC),political,Party]
"[""core_organisation:109""",Select Committee On Education And Recreation,political,Committee]
"[""core_organisation:87""",Select Committee On Social Services,political,Committee]
"[""core_organisation:118""",Standing Committee On Finance,political,Committee]
"[""core_organisation:505""",ANC Constituency Office (953): Botshabelo,political,Constituency Office]
"[""core_organisation:84""",United Christian Democratic Party (UCDP),political,Party]
"[""core_organisation:74""",United Democratic Movement (UDM),political,Party]
"[""core_organisation:731""",FF+ Constituency Office: Stilfontein,political,Constituency Office]
"[""core_organisation:672""",DA Constituency Area: Saldanha,political,Constituency Area]
"[""core_organisation:526""",DA Constituency Area: PE NORTHWEST: NMMM Northwestern areas,political,Constituency Area]
"[""core_organisation:580""",DA Constituency Area: Rand West,political,Constituency Area]
"[""core_organisation:608""","DA Constituency Area: Rustenburg, Moses Kotane & Kgetlengriver",political,Constituency Area]
"[""core_organisation:665""","DA Constituency Area: Overberg \C\""""",political,Constituency Area]
"[""core_organisation:553""",DA Constituency Area: Sandton,political,Constituency Area]
"[""core_organisation:728""",FF+ Constituency Office: Cape Town,political,Constituency Office]
"[""core_organisation:643""",DA Constituency Area: Prins Albert,political,Constituency Area]
"[""core_organisation:730""",FF+ Constituency Office: Centurion (Satellite Office),political,Constituency Office]
"[""core_organisation:277""",ANC Constituency Office (131): Hammanskraal,political,Constituency Office]
"[""core_organisation:323""",ANC Constituency Office (216): Carolina,political,Constituency Office]
"[""core_organisation:125""",Standing Committee on Public Accounts,political,National Assembly Committees]
"[""core_organisation:86""",Committee On Auditor-General,political,Committee]
"[""core_organisation:136""",Standing Committee on Appropriations,political,Committee]
"[""core_organisation:434""",ANC Constituency Office (731): Gamtu Valley,political,Constituency Office]
"[""core_organisation:451""",ANC Constituency Office (725): Lady Grey,political,Constituency Office]
"[""core_organisation:758""",ANC Constituency Office (734): Ngqeleni,political,Constituency Office]
"[""core_organisation:759""",ANC Constituency Office (736): Port St Johns,political,Constituency Office]
"[""core_organisation:428""",ANC Constituency Office (745): Butterworth,political,Constituency Office]
